crop,district_code,improved_seed,inorganic_fert,organic_fert,irrigated,mean_yield_kg_ha,ci_low,ci_high,n_plots,reliability
maize,28.0,True,True,False,False,1188.9634438864914,1136.1385928743564,1251.746626908447,97,ok
maize,28.0,True,True,False,True,1417.3970187751536,1354.5024780531528,1475.720449952072,97,ok
maize,28.0,True,True,True,False,1430.034156494178,1384.041381063231,1493.497215031255,97,ok
maize,28.0,True,True,True,True,1629.2905044402214,1580.28206880265,1684.5593359542067,97,ok
maize,31.0,False,False,False,False,493.41278854401503,476.5685467529243,513.3674631009959,190,ok
maize,31.0,False,False,False,True,622.3625867210798,598.252485562644,645.7729357478883,190,ok
maize,31.0,False,False,True,False,676.5728930901713,650.8789158002212,702.4363936003095,190,ok
maize,31.0,False,False,True,True,798.1420209309972,765.2390566371574,824.5489266691167,190,ok
maize,31.0,False,True,False,False,794.3349955530986,773.4127512107087,820.495190708858,190,ok
maize,31.0,False,True,False,True,956.1689555347442,924.5378496105623,988.0318340997635,190,ok
maize,31.0,False,True,True,False,981.8630740786999,953.9287356078196,1009.3942914030638,190,ok
maize,31.0,False,True,True,True,1108.7859873331001,1073.6375450886528,1136.5829521339863,190,ok
maize,31.0,True,False,False,False,565.9250178733821,544.2690613472267,592.915058147981,190,ok
maize,31.0,True,False,False,True,732.4687767254367,702.5741601778174,763.1598241936629,190,ok
maize,31.0,True,False,True,False,745.616723404477,716.3214069234338,781.1702669428464,190,ok
maize,31.0,True,False,True,True,897.7372998310385,854.005226052432,935.7143553733666,190,ok
maize,31.0,True,True,False,False,995.3221888602953,963.1208517324659,1032.1852373819581,190,ok
maize,31.0,True,True,False,True,1260.3295827036952,1212.9982517915464,1309.0296535645841,190,ok
maize,31.0,True,True,True,False,1168.0657940304989,1133.1414881536373,1207.1820401342557,190,ok
maize,31.0,True,True,True,True,1380.277709100406,1328.8549235732137,1422.0350025819969,190,ok
maize,32.0,False,False,False,False,676.7006146840597,662.5001664376883,690.3401662653554,420,ok
maize,32.0,False,False,False,True,807.6384951705406,792.7403444336832,819.964273035652,420,ok
maize,32.0,False,False,True,False,713.5482009756352,698.39896894202,727.9801451817423,420,ok
maize,32.0,False,False,True,True,845.7178210417205,829.0860825171073,859.4828560725773,420,ok
maize,32.0,False,True,False,False,835.1926750883116,815.9262207011298,852.1134562768867,420,ok
maize,32.0,False,True,False,True,979.0411131596989,956.4865337993663,998.0092002560151,420,ok
maize,32.0,False,True,True,False,875.2315869762887,855.9517761208944,893.9324412685543,420,ok
maize,32.0,False,True,True,True,1019.418999480766,999.4378001565595,1038.2157505280077,420,ok
maize,32.0,True,False,False,False,735.5498397537766,717.186402959442,754.7257728836726,420,ok
maize,32.0,True,False,False,True,925.0169056046183,902.2518368601678,945.4671781560432,420,ok
maize,32.0,True,False,True,False,759.2527314715833,740.0308812317154,776.3167805630894,420,ok
maize,32.0,True,False,True,True,949.1078660190952,925.663709057844,970.6238918348101,420,ok
maize,32.0,True,True,False,False,1010.01633739083,982.2679563224716,1035.5318109622222,420,ok
maize,32.0,True,True,False,True,1255.8931681273152,1215.3159434615525,1285.6571588649522,420,ok
maize,32.0,True,True,True,False,1024.1484582682376,998.3063724148896,1048.7562422390179,420,ok
maize,32.0,True,True,True,True,1266.4230363866475,1232.5169815364543,1295.9068982581641,420,ok
maize,33.0,False,False,False,False,1013.8769706472606,991.828381946497,1039.1987227358445,275,ok
maize,33.0,False,False,False,True,1103.8146433689415,1078.1688383273258,1129.9184638708043,275,ok
maize,33.0,False,False,True,False,987.1137311845207,961.8054887817285,1010.0908692924623,275,ok
maize,33.0,False,False,True,True,1085.0892517040827,1062.3501825176004,1106.7786516249178,275,ok
maize,33.0,False,True,False,False,1101.601176559439,1074.0134200323087,1130.5854091062765,275,ok
maize,33.0,False,True,False,True,1161.2176590064576,1136.37983865535,1187.0511686725004,275,ok
maize,33.0,False,True,True,False,1094.0487381468595,1064.2891050427027,1124.6310565913952,275,ok
maize,33.0,False,True,True,True,1166.712652300964,1143.4762659323567,1189.971766342043,275,ok
maize,33.0,True,False,False,False,1366.9802333081548,1343.3165752423085,1392.58625032127,275,ok
maize,33.0,True,False,False,True,1510.5996873675876,1486.418996704296,1542.9301946666565,275,ok
maize,33.0,True,False,True,False,1324.5874861632071,1294.6337836733567,1354.8876362781464,275,ok
maize,33.0,True,False,True,True,1471.7119927168033,1447.3524530996676,1503.7643301486717,275,ok
maize,33.0,True,True,False,False,1535.58934332478,1497.7440263681083,1574.0477655985674,275,ok
maize,33.0,True,True,False,True,1661.8574741172417,1625.1731699239172,1702.4384681659526,275,ok
maize,33.0,True,True,True,False,1486.2271637018746,1453.733567300996,1528.992858741868,275,ok
maize,33.0,True,True,True,True,1619.0889568797454,1585.8669475132467,1657.760046560376,275,ok
maize,34.0,False,False,False,False,577.3198352062924,556.2616953059551,600.204737484323,255,ok
maize,34.0,False,False,False,True,663.5228330802335,641.0283661103263,686.6987276112291,255,ok
maize,34.0,False,False,True,False,628.12341205115,603.1003883022983,650.3767702646062,255,ok
maize,34.0,False,False,True,True,704.7453452236548,679.1916876401716,728.0040966586901,255,ok
maize,34.0,False,True,False,False,822.1775202442607,792.4849613273037,856.8463049250067,255,ok
maize,34.0,False,True,False,True,889.9947409562045,856.910006243078,923.0139926449144,255,ok
maize,34.0,False,True,True,False,903.1464900136135,871.029150731795,938.4966808110081,255,ok
maize,34.0,False,True,True,True,954.9994374255477,922.1846857314522,987.6744782229842,255,ok
maize,34.0,True,False,False,False,586.5491877377226,565.7134062383543,607.8246852221479,255,ok
maize,34.0,True,False,False,True,707.7842450982747,680.6259728283126,734.1189868981601,255,ok
maize,34.0,True,False,True,False,653.1139396822891,623.6251838295213,679.7089431197585,255,ok
maize,34.0,True,False,True,True,761.6439572473472,729.851230908934,789.9592569902927,255,ok
maize,34.0,True,True,False,False,928.9357697017618,894.3553580235699,969.4289490175747,255,ok
maize,34.0,True,True,False,True,1082.5688496770044,1040.588782248554,1124.325832207631,255,ok
maize,34.0,True,True,True,False,1033.9526935797578,990.6636460831821,1077.1113785566838,255,ok
maize,34.0,True,True,True,True,1164.3059602436392,1125.2920387126262,1210.6932396469028,255,ok
maize,35.0,False,False,False,False,375.41014261167754,362.46049878410884,394.19926704936375,287,ok
maize,35.0,False,False,False,True,518.3456616886324,505.41034950476956,539.5312889916386,287,ok
maize,35.0,False,False,True,False,407.1946702031685,389.9544016680202,429.54630776782767,287,ok
maize,35.0,False,False,True,True,546.8664043514656,529.4610283263738,571.3845213523289,287,ok
maize,35.0,False,True,False,False,579.6970264302901,557.6766989298883,610.0837438970684,287,ok
maize,35.0,False,True,False,True,745.187868005145,723.4011086067159,774.4634713537979,287,ok
maize,35.0,False,True,True,False,635.9581873027682,608.8379633645563,669.1167814665579,287,ok
maize,35.0,False,True,True,True,793.9762224330871,767.3556852025882,827.5365746100981,287,ok
maize,35.0,True,False,False,False,431.0571412416895,412.9556646417595,455.10501324658225,287,ok
maize,35.0,True,False,False,True,621.4024810761464,600.6170547898541,649.2619314579016,287,ok
maize,35.0,True,False,True,False,459.5433565528974,437.4617822758563,486.81758416856354,287,ok
maize,35.0,True,False,True,True,645.0344205463522,622.5802378468351,674.6899687225102,287,ok
maize,35.0,True,True,False,False,670.86582580086,640.7067665301138,709.0837713247433,287,ok
maize,35.0,True,True,False,True,930.8432073139637,893.7059049085365,981.7484075685811,287,ok
maize,35.0,True,True,True,False,719.1988886261942,683.30690814666,763.5482112590969,287,ok
maize,35.0,True,True,True,True,968.4171231392879,925.6078805139523,1022.3334088754957,287,ok
maize,36.0,False,False,False,False,640.3578347843647,597.5200714701696,694.0520487923544,73,ok
maize,36.0,False,False,False,True,797.536950514951,757.7816255381989,851.0934398078712,73,ok
