district_code,season,year,lead_months,ndvi_mean,ndvi_climatology_mean,ndvi_anomaly,rainfall_mm,rainfall_climatology_mm,rainfall_anomaly
31,A,2022,2,0.559834531687419,0.5893821642012579,-0.02954763251383885,217.35962227174147,695.3883730727514,-478.0287508010099
35,A,2022,2,0.577852213290771,0.5900406158512127,-0.012188402560441736,214.94125462380785,673.8697186110531,-458.9284639872453
34,A,2022,2,0.6061384692893468,0.5948705806999535,0.011267888589393316,242.23145230905584,727.5725236094592,-485.3410713004033
37,A,2022,2,0.5960729097552719,0.6023774613954869,-0.006304551640214928,223.0607027702184,833.533010090417,-610.4723073201985
33,A,2022,2,0.6273506956672334,0.5769727808837313,0.050377914783502176,218.24282659099188,665.9829310230813,-447.7401044320894
36,A,2022,2,0.5955353749751204,0.6203227980243009,-0.024787423049180468,212.0805141374532,877.9863588585017,-665.9058447210485
32,A,2022,2,0.6109664495272069,0.571044016756271,0.03992243277093588,209.0628314896416,670.2923260847152,-461.2294945950736
57,A,2022,3,0.4607896685528554,0.5232000042786433,-0.06241033572578791,287.3219454526456,537.6038856609841,-250.28194020833854
53,A,2022,3,0.5689772749156585,0.5898774882200208,-0.020900213304362314,311.32917404043087,563.150757883023,-251.82158384259208
54,A,2022,3,0.4672966099404392,0.5148881640784552,-0.04759155413801597,275.6487249485566,539.3123998898976,-263.663674941341
55,A,2022,3,0.4908951545479399,0.5567120985461607,-0.06581694399822074,244.0493221783197,552.1756797854943,-308.12635760717455
56,A,2022,3,0.5251684891387592,0.5780966319788349,-0.05292814284007563,286.3703921853244,572.6690576586709,-286.2986654733465
52,A,2022,3,0.5857539703417575,0.5906377629937875,-0.0048837926520299835,302.7403008779485,532.7701165154426,-230.0298156374941
51,A,2022,3,0.5551111645398945,0.5867641888615014,-0.03165302432160688,278.50183749441896,537.6724565537642,-259.1706190593452
12,A,2022,3,0.5321177018788952,0.568861695178867,-0.0367439932999718,345.54608361772773,566.5595317284136,-221.01344811068589
13,A,2022,3,0.4623696801435724,0.556269903923189,-0.0939002237796166,304.6233741639312,549.0361204926747,-244.41274632874354
11,A,2022,3,0.5090288033549766,0.5557499918145764,-0.04672118845959983,340.80055031259155,569.3818444225695,-228.581294109978
44,A,2022,3,0.5757074091700283,0.5342617028314773,0.041445706338550936,359.8147080964108,668.1525153546401,-308.33780725822925
42,A,2022,3,0.6249998050449822,0.5931116681670293,0.03188813687795289,343.96734327632373,636.4110449199464,-292.4437016436227
45,A,2022,3,0.6423319030570867,0.5934668573502707,0.048865045706815935,355.13101185478064,608.0765628121432,-252.9455509573625
43,A,2022,3,0.624155232513417,0.5785218633809919,0.045633369132425106,398.5720738825617,760.948092805632,-362.37601892307026
41,A,2022,3,0.5798166540809281,0.5710089314384026,0.008807722642525495,368.5425310919962,616.511621175987,-247.9690900839908
22,A,2022,3,0.5767374103570118,0.5952345300902333,-0.018497119733221545,399.76083864881736,689.784448705568,-290.02361005675067
24,A,2022,3,0.5600029596347981,0.5634030467912526,-0.0034000871564545676,374.6727394325645,675.6982206230717,-301.0254811905072
28,A,2022,3,0.5625468477559002,0.5751026336519572,-0.012555785896056992,350.352705208526,570.1193998072029,-219.76669459867685
27,A,2022,3,0.5847548308685502,0.5774512964947617,0.007303534373788501,358.2717682869802,631.7151372206748,-273.4433689336946
25,A,2022,3,0.5652257378411992,0.5629983440811737,0.0022273937600255644,353.52131506157826,789.1854214642077,-435.66410640262944
21,A,2022,3,0.5612794901732907,0.5788589876681618,-0.017579497494871088,368.02102653012986,621.5758942561716,-253.55486772604178
23,A,2022,3,0.5841759025029738,0.5735772872407364,0.010598615262237376,388.59882608857794,831.6756801327349,-443.07685404415696
26,A,2022,3,0.5549449640670036,0.5569278808089793,-0.0019829167419757043,347.6826694613597,592.6909513481587,-245.008281886799
31,A,2022,3,0.5971045584167953,0.5893821642012579,0.0077223942155374425,334.0882297566024,695.3883730727514,-361.300143316149
35,A,2022,3,0.6046564206772119,0.5900406158512127,0.014615804825999223,340.62176882439604,673.8697186110531,-333.2479497866571
34,A,2022,3,0.6359398286610712,0.5948705806999535,0.04106924796111777,373.6753396086862,727.5725236094592,-353.89718400077294
37,A,2022,3,0.6197044330735053,0.6023774613954869,0.017326971678018444,361.5476855543124,833.533010090417,-471.98532453610454
33,A,2022,3,0.6360058325835164,0.5769727808837313,0.05903305169978512,336.85010546225715,665.9829310230813,-329.13282556082413
36,A,2022,3,0.6161625651563596,0.6203227980243009,-0.004160232867941316,360.8585876093379,877.9863588585017,-517.1277712491637
32,A,2022,3,0.6285483006349717,0.571044016756271,0.05750428387870066,332.6364111532812,670.2923260847152,-337.65591493143404
57,A,2022,4,0.4662316080678633,0.5232000042786433,-0.05696839621078004,388.1567575952566,537.6038856609841,-149.44712806572755
53,A,2022,4,0.5897258022194741,0.5898774882200208,-0.00015168600054671355,411.30106456150025,563.150757883023,-151.8496933215227
54,A,2022,4,0.4763232644608878,0.5148881640784552,-0.03856489961756737,379.5367590975123,539.3123998898976,-159.77564079238533
55,A,2022,4,0.5185334395879545,0.5567120985461607,-0.03817865895820616,384.83275563306046,552.1756797854943,-167.3429241524338
56,A,2022,4,0.5368070636438446,0.5780966319788349,-0.04128956833499031,404.2408948439037,572.6690576586709,-168.42816281476723
