geo_level,geo_code,crop,season,year,total_production_kg,total_area_ha,yield_kg_ha,yield_kg_ha_ci_low,yield_kg_ha_ci_high,n_plots,n_segments,reliability
district,41.0,beans,A,2022,961416.7905389403,1822.866082063021,527.4204177691764,462.89499631044987,591.945839227903,31,15,ok
district,41.0,beans,A,2023,1514639.616760254,2946.4418462190706,514.0571902696358,399.4410039697,628.6733765695717,50,23,ok
district,41.0,beans,A,2024,1857820.3804092407,2290.513155899681,811.0935209536116,670.7550458153423,951.4319960918808,39,20,ok
district,41.0,beans,A,2025,2653383.039703369,3631.948874192522,730.5672881458955,639.0945994210583,822.0399768707327,62,25,ok
district,41.0,beans,B,2020,2106744.0564230345,3042.869401175867,692.3544124532317,612.7394717631323,771.9693531433311,47,22,ok
district,41.0,beans,B,2021,1530112.520344696,2185.9348424880664,699.9808459995529,613.12133905137,786.8403529477358,51,24,ok
district,41.0,beans,B,2022,1529765.2677847291,1758.1559079229294,870.0964805743428,658.9901983707491,1081.2027627779364,30,15,ok
district,41.0,beans,B,2023,3210144.722825928,3994.00849982541,803.7400829182644,642.6922438600064,964.7879219765224,69,25,ok
district,41.0,beans,B,2024,1621379.8204040527,1665.0035255130128,973.7996319884554,839.2966905821545,1108.3025733947563,32,11,ok
district,41.0,beans,B,2025,3198503.5565185547,3747.9264543645877,853.4061688413839,727.3790880407619,979.4332496420059,66,24,ok
district,42.0,beans,A,2020,1296463.3038226112,2861.308943871975,453.1014753227639,363.3788089311372,542.8241417143906,47,25,ok
district,42.0,beans,A,2021,1322059.8850036622,1946.95426050809,679.0400328452753,542.9468269528588,815.1332387376917,32,18,ok
district,42.0,beans,A,2022,670956.5491333008,1035.1332632656101,648.1837391801954,506.09658799570343,790.2708903646874,17,11,ok
district,42.0,beans,A,2023,1141598.040939331,2255.7069924696443,506.0932314127646,377.85952165111905,634.3269411744102,37,22,ok
district,42.0,beans,A,2024,1619708.393157959,2384.9621878151484,679.1337830985763,539.6262594403988,818.6413067567537,39,21,ok
district,42.0,beans,A,2025,2801192.417907715,3162.299017877661,885.8088378333373,797.1383995338774,974.4792761327972,52,24,ok
district,42.0,beans,B,2020,3987846.160620117,4905.715233437167,812.8980119838817,715.383102159244,910.4129218085194,83,23,ok
district,42.0,beans,B,2021,4293661.761664733,5430.983928104208,790.5863501907878,676.6446422499957,904.5280581315799,93,27,ok
district,42.0,beans,B,2022,5726478.9067901615,5270.543244115435,1086.5063887263952,926.992008319276,1246.0207691335145,88,23,ok
district,42.0,beans,B,2023,5457028.367098389,5894.537165063647,925.7772432824191,763.9126397411264,1087.6418468237118,98,29,ok
district,42.0,beans,B,2024,4126521.2882995605,4158.227438390908,992.3750803530803,890.473903360715,1094.2762573454456,69,29,ok
district,42.0,beans,B,2025,6327005.158843994,7178.284507993079,881.4090820444385,786.5475956023869,976.2705684864901,116,35,ok
district,43.0,beans,A,2020,1936961.5922386236,2376.46822691891,815.0589056054384,695.6579992585172,934.4598119523597,45,14,ok
district,43.0,beans,A,2021,2580522.3184033204,3293.293546531427,783.568874727607,660.9592673682542,906.1784820869597,61,17,ok
district,43.0,beans,A,2022,2019345.7049475098,2039.4804080724455,990.1275329514121,835.0332234881574,1145.2218424146668,40,15,ok
district,43.0,beans,A,2023,1893182.2210021974,2265.197883993348,835.7690223799259,684.1072528163191,987.4307919435327,44,15,ok
district,43.0,beans,A,2024,5303388.585968018,6032.822858832316,879.089061632835,778.6014005545713,979.5767227110986,117,23,ok
district,43.0,beans,A,2025,6544047.671279907,6323.59804300639,1034.861423318537,916.4305114694777,1153.2923351675963,122,26,ok
district,43.0,beans,B,2020,4102182.8816664126,4180.709290629787,981.2169649921904,856.3028043802858,1106.131125604095,87,17,ok
district,43.0,beans,B,2021,3028359.6856567385,3183.208460214054,951.3544976734252,871.7742277384659,1030.9347676083844,120,19,ok
district,43.0,beans,B,2022,3690194.43541687,4052.9314735422577,910.5000811157668,829.4664771522954,991.5336850792381,85,19,ok
district,43.0,beans,B,2023,5649685.959472656,4614.647145801062,1224.2942485024867,1008.7152902410692,1439.8732067639041,95,18,ok
district,43.0,beans,B,2024,5565380.106323242,4835.065923440141,1151.045341355653,1050.9429870336348,1251.147695677671,102,21,ok
district,43.0,beans,B,2025,5206810.745666504,5031.644809564728,1034.8128579681936,933.6121399747757,1136.0135759616117,103,20,ok
district,44.0,beans,A,2020,4945888.903475261,6065.774714587998,815.3762934156711,705.8973132058411,924.855273625501,105,25,ok
district,44.0,beans,A,2021,4393148.017121277,7524.32981409467,583.8590446808932,509.2990821620598,658.4190071997267,128,26,ok
district,44.0,beans,A,2022,5194120.77190979,6632.140941405694,783.1740636695346,711.6329744596057,854.7151528794634,116,28,ok
district,44.0,beans,A,2023,5770396.213159027,4957.2665813793965,1164.0278202576249,1038.1621934704806,1289.8934470447691,78,21,ok
district,44.0,beans,A,2024,5425043.731262207,6145.301041818771,882.7954390427395,795.7271613639177,969.8637167215613,112,29,ok
district,44.0,beans,A,2025,6930164.934448242,6761.505875227548,1024.944008381124,939.6652069943109,1110.222809767937,123,30,ok
district,44.0,beans,B,2020,7402905.178847961,8314.336123605957,890.3783860541465,837.231219438487,943.5255526698061,141,31,ok
district,44.0,beans,B,2021,6063758.405136719,5985.422446518971,1013.0877910987398,913.6659528839745,1112.5096293135052,104,31,ok
district,44.0,beans,B,2022,9254709.527670288,7714.43827567795,1199.6608433369024,1106.8687422313499,1292.452944442455,138,27,ok
district,44.0,beans,B,2023,6137982.696380615,4899.001809239844,1252.9047621096956,1164.6884862615018,1341.1210379578895,88,24,ok
district,44.0,beans,B,2024,5176040.242736816,4376.953201430095,1182.5669602877256,1063.6745313501713,1301.45938922528,80,23,ok
district,44.0,beans,B,2025,9091641.522338867,8008.664150126839,1135.2257195346212,1041.154275594558,1229.2971634746846,133,28,ok
district,45.0,beans,A,2020,5405836.005840501,9049.400674783205,597.3695054639635,519.8391459586475,674.8998649692795,143,35,ok
district,45.0,beans,A,2021,7680675.170776366,9222.765384160099,832.7952464200988,766.7724996770787,898.8179931631189,142,35,ok
district,45.0,beans,A,2022,5648221.322555542,7385.548725030246,764.7666453561189,650.6888966300363,878.8443940822016,113,32,ok
district,45.0,beans,A,2023,5827173.45740509,7986.027013742265,729.6711427819811,655.9940410403696,803.3482445235926,122,37,ok
district,45.0,beans,A,2024,4355031.524200439,5425.887505675517,802.6394796510332,714.7023633362057,890.5765959658606,85,28,ok
district,45.0,beans,A,2025,5484606.444641113,6801.656158610261,806.3633792628747,708.4916470026599,904.2351115230895,106,31,ok
district,45.0,beans,B,2020,4747262.801467285,4915.589743308986,965.756511297383,823.4857421236823,1108.0272804710837,74,23,ok
district,45.0,beans,B,2021,3773026.32745636,4469.123849160339,844.2429556221043,706.1058450048116,982.380066239397,103,35,ok
district,45.0,beans,B,2022,3450125.614770508,3508.803510448229,983.2769502472865,752.5780364454685,1213.9758640491048,53,22,ok
district,45.0,beans,B,2023,4652842.971459961,4505.624585045294,1032.6743570477004,797.117167134124,1268.2315469612768,70,28,ok
district,45.0,beans,B,2024,3760584.8168029785,4253.429976514113,884.1299463180432,828.4812757711335,939.7786168649528,66,26,ok
district,45.0,beans,B,2025,6356810.88079834,7103.823458292531,894.8435892473964,816.9407015978686,972.7464768969242,109,31,ok
district,51.0,beans,A,2020,348139.3656772475,940.7705287202601,370.05768681000785,279.079986742264,461.0353868777517,17,13,ok
district,51.0,beans,A,2023,534741.3241981507,1207.851198487121,442.7211935277576,283.3178860240476,602.1245010314676,23,13,ok
district,51.0,beans,A,2025,762481.6631164551,1486.5998246995857,512.9031030731747,363.8412086489759,661.9649974973736,25,12,ok
district,51.0,beans,B,2020,697540.0657096863,1390.6937482046317,501.5770485847095,303.596530489286,699.5575666801329,23,13,use_with_caution
district,51.0,beans,B,2021,662123.2395141602,1448.0721464135797,457.24464844796006,346.0479737042744,568.4413231916458,39,21,ok
district,51.0,beans,B,2023,554949.4680389403,834.9935301144793,664.6152910464535,471.87255105735045,857.3580310355567,15,10,ok
district,51.0,beans,B,2025,1579057.5325622559,3653.7898699339303,432.1697713259053,370.22862766639133,494.11091498541924,61,26,ok
district,52.0,beans,A,2022,1519212.696018982,2621.3449758948836,579.5546599128365,422.55847087652046,736.5508489491526,29,12,ok
district,52.0,beans,B,2020,1910556.6141088866,2828.5909663928614,675.4446425123492,561.8934525209892,788.9958325037093,25,13,ok
district,52.0,beans,B,2021,1444155.7601919556,2246.0479229713314,642.976378830537,462.31854655417885,823.6342111068951,36,17,ok
district,52.0,beans,B,2022,2126174.218039551,2535.7233129508018,838.4882558678447,645.5666216201769,1031.4098901155126,27,17,ok
