district_code,zone_id,crop,season,year,actual_yield_kg_ha,actual_yield_kg_ha_ci_low,actual_yield_kg_ha_ci_high,attainable_yield_kg_ha,yield_gap_kg_ha,yield_gap_pct,n_plots,n_segments,reliability
26.0,2,beans,B,2023,751.6845966664911,636.0823817234461,867.286811609536,1007.0473574111334,255.3627607446423,25.357572200091568,48,21,ok
26.0,2,beans,B,2024,650.2352247950616,532.1384849371605,768.3319646529628,1007.0473574111334,356.8121326160717,35.431514713801185,13,9,suppressed
26.0,2,beans,B,2025,499.1640851203819,443.16869797951597,555.1594722612479,1007.0473574111334,507.88327229075145,50.43290849760951,108,32,ok
27.0,3,beans,A,2020,447.9236478638276,305.09480423750455,590.7524914901508,1341.4522751219129,893.5286272580852,66.60905078988965,15,11,ok
27.0,3,beans,A,2021,447.27803476914715,321.96026834965966,572.5958011886346,1341.4522751219129,894.1742403527658,66.65717871114737,13,10,ok
27.0,3,beans,A,2022,539.6967945457264,321.8660682771135,757.5275208143394,1341.4522751219129,801.7554805761864,59.76772304503505,8,4,suppressed
27.0,3,beans,A,2023,509.37156484487474,300.07581268957654,718.6673170001729,1341.4522751219129,832.0807102770382,62.02834984952541,9,7,suppressed
27.0,3,beans,A,2024,822.6269243881137,551.9469673737702,1093.3068814024573,1341.4522751219129,518.8253507337992,38.6763927689226,10,9,suppressed
27.0,3,beans,A,2025,654.8435814011353,434.05273190451436,875.6344308977564,1341.4522751219129,686.6086937207775,51.18398220006579,23,16,ok
27.0,3,beans,B,2020,582.7440275802757,439.36332166833137,726.12473349222,1461.7469542094314,879.0029266291557,60.133727256818815,11,9,suppressed
27.0,3,beans,B,2021,563.7786764156778,440.6080017251629,686.9493511061926,1461.7469542094314,897.9682777937536,61.431171462875334,27,16,ok
27.0,3,beans,B,2022,442.3390378247948,349.2861289726263,535.3919466769632,1461.7469542094314,1019.4079163846366,69.73901422876378,11,9,suppressed
27.0,3,beans,B,2023,860.1451339376252,530.8027041730437,1189.487563702207,1461.7469542094314,601.6018202718061,41.156358734961444,9,9,suppressed
27.0,3,beans,B,2024,742.6270940885948,584.1663624643213,901.0878257128684,1461.7469542094314,719.1198601208365,49.19591985808269,8,5,suppressed
27.0,3,beans,B,2025,586.8725619939838,478.10634156961396,695.6387824183537,1461.7469542094314,874.8743922154475,59.851288877055545,28,14,ok
28.0,2,beans,A,2020,424.7185172425853,323.0150643265923,526.4219701585782,1034.7062121999309,609.9876949573456,58.95274308447671,32,17,ok
28.0,2,beans,A,2021,391.19809944028964,281.3026204058943,501.093578474685,1034.7062121999309,643.5081127596412,62.19235036691744,27,18,ok
28.0,2,beans,A,2022,473.19119049827697,89.15604048609094,857.2263405104629,1034.7062121999309,561.515021701654,54.26806325128696,4,3,suppressed
28.0,2,beans,A,2023,225.23407252546866,108.15778857058578,342.3103564803515,1034.7062121999309,809.4721396744621,78.23207497260604,15,10,use_with_caution
28.0,2,beans,A,2024,636.1868668338752,304.11151784613764,968.2622158216128,1034.7062121999309,398.51934536605563,38.515217234343986,12,11,use_with_caution
28.0,2,beans,A,2025,448.8873999997824,299.5414161244347,598.2333838751301,1034.7062121999309,585.8188122001484,56.61692230054513,17,10,ok
28.0,2,beans,B,2020,526.9222915356318,429.72541056029274,624.1191725109708,1007.0473574111334,480.1250658755016,47.676513159200674,26,17,ok
28.0,2,beans,B,2021,452.2834175611935,376.57071189164924,527.9961232307378,1007.0473574111334,554.7639398499398,55.088167976141555,40,27,ok
28.0,2,beans,B,2022,391.11583629548977,216.88832108852984,565.3433515024497,1007.0473574111334,615.9315211156436,61.16212078635998,9,9,suppressed
28.0,2,beans,B,2023,693.6588092537264,443.2373567243655,944.0802617830873,1007.0473574111334,313.38854815740694,31.11954426483482,15,11,ok
28.0,2,beans,B,2024,462.65023021580174,383.4085805005162,541.8918799310873,1007.0473574111334,544.3971271953317,54.0587414473576,21,11,ok
28.0,2,beans,B,2025,333.0892004326192,290.71758233640713,375.4608185288312,1007.0473574111334,673.9581569785141,66.92417710236505,63,27,ok
31.0,3,beans,A,2020,747.3422583504642,543.3943011225965,951.290215578332,1341.4522751219129,594.1100167714486,44.28856902251369,15,14,ok
31.0,3,beans,A,2021,1047.7988452750014,643.2914989239796,1452.3061916260233,1341.4522751219129,293.6534298469114,21.89071018722778,4,4,suppressed
31.0,3,beans,A,2022,761.3897839272353,543.7930671510558,978.9865007034148,1341.4522751219129,580.0624911946776,43.24138114730625,16,12,ok
31.0,3,beans,A,2023,804.3140764560447,637.279940535162,971.3482123769274,1341.4522751219129,537.1381986658681,40.04154367825365,17,13,ok
31.0,3,beans,A,2024,733.8491395871204,465.2299170223346,1002.4683621519061,1341.4522751219129,607.6031355347925,45.294428046616325,15,14,ok
31.0,3,beans,A,2025,772.2864361210098,462.6847061296215,1081.8881661123983,1341.4522751219129,569.165839000903,42.42907851113649,18,12,use_with_caution
31.0,3,beans,B,2020,684.470960651498,584.8942874409282,784.0476338620678,1461.7469542094314,777.2759935579334,53.17445617516706,31,20,ok
31.0,3,beans,B,2021,500.9892064533508,423.14197683835886,578.8364360683427,1461.7469542094314,960.7577477560806,65.7266803251658,48,26,ok
31.0,3,beans,B,2022,830.9060370638459,627.2689423254292,1034.5431318022627,1461.7469542094314,630.8409171455854,43.15664317472571,39,19,ok
31.0,3,beans,B,2023,759.7565767598445,651.8134232080556,867.6997303116334,1461.7469542094314,701.9903774495868,48.02406979046863,46,21,ok
31.0,3,beans,B,2024,1012.8103713665905,856.4150304917563,1169.2057122414249,1461.7469542094314,448.93658284284083,30.712332360264295,30,19,ok
31.0,3,beans,B,2025,778.3580741525152,688.1259946408336,868.5901536641968,1461.7469542094314,683.3888800569162,46.75151729161762,54,29,ok
32.0,3,beans,A,2020,502.7078563111377,364.42982111027777,640.9858915119976,1341.4522751219129,838.7444188107752,62.52510315617072,15,8,suppressed
32.0,3,beans,A,2021,755.35122696091,565.6842877153119,945.0181662065081,1341.4522751219129,586.1010481610028,43.69153185921111,9,5,suppressed
32.0,3,beans,A,2022,1007.1534478992903,894.852996278605,1119.4538995199757,1341.4522751219129,334.29882722262255,24.9206649705254,12,5,suppressed
32.0,3,beans,A,2023,597.2769150767704,321.1076331583296,873.4461969952112,1341.4522751219129,744.1753600451425,55.475351143409924,17,8,suppressed
32.0,3,beans,A,2024,901.8935474653584,717.0704750382541,1086.7166198924629,1341.4522751219129,439.5587276565544,32.76737725288116,15,6,suppressed
32.0,3,beans,A,2025,670.8212429699349,528.3824225741212,813.2600633657487,1341.4522751219129,670.6310321519779,49.99291026518481,17,9,suppressed
32.0,3,beans,B,2020,808.9269975287929,707.9098834374852,909.9441116201006,1461.7469542094314,652.8199566806385,44.66025770060239,18,10,ok
32.0,3,beans,B,2021,576.7783647080919,407.36396049982613,746.1927689163576,1461.7469542094314,884.9685895013395,60.541845970868756,31,16,ok
32.0,3,beans,B,2022,766.608701521251,684.60335566767,848.6140473748319,1461.7469542094314,695.1382526881804,47.555307071882204,23,8,suppressed
32.0,3,beans,B,2023,562.6499655702936,355.81917945790804,769.4807516826792,1461.7469542094314,899.0969886391377,61.508388031867234,25,11,ok
32.0,3,beans,B,2024,813.2863859260078,640.4185617755024,986.1542100765132,1461.7469542094314,648.4605682834235,44.36202630120312,16,8,suppressed
32.0,3,beans,B,2025,768.8380593267212,618.4606597721172,919.2154588813253,1461.7469542094314,692.9088948827101,47.402793820594056,43,17,ok
33.0,4,beans,A,2020,667.9757689057253,582.6628734199709,753.2886643914798,1528.1373165058644,860.1615476001391,56.28823655500583,90,22,ok
33.0,4,beans,A,2021,570.0130953980276,513.1487618738842,626.8774289221711,1528.1373165058644,958.1242211078368,62.698830187500356,86,21,ok
33.0,4,beans,A,2022,619.6150208082445,513.4604267667958,725.7696148496932,1528.1373165058644,908.5222956976199,59.45292257995411,74,21,ok
33.0,4,beans,A,2023,796.3130123203575,672.791557074938,919.834467565777,1528.1373165058644,731.8243041855069,47.88995702682315,83,20,ok
33.0,4,beans,A,2024,845.3670323505708,667.4687734620569,1023.2652912390846,1528.1373165058644,682.7702841552937,44.67990387908791,76,20,ok
33.0,4,beans,A,2025,671.9563082972529,535.7951191424678,808.117497452038,1528.1373165058644,856.1810082086115,56.02775345911303,74,17,ok
33.0,4,beans,B,2020,702.7714628133276,644.0124857302466,761.5304398964087,1639.372784053174,936.6013212398464,57.13168660298238,55,16,ok
33.0,4,beans,B,2021,478.9420781178559,369.2686688024595,588.6154874332523,1639.372784053174,1160.4307059353182,70.78504152461757,63,18,ok
33.0,4,beans,B,2022,579.7526250279614,502.6550974266196,656.8501526293031,1639.372784053174,1059.6201590252126,64.63570515093066,45,14,ok
33.0,4,beans,B,2023,497.4042138184814,347.371853285908,647.4365743510548,1639.372784053174,1141.9685702346926,69.65887084030378,58,18,ok
33.0,4,beans,B,2024,765.1801260571068,655.8450935265962,874.5151585876174,1639.372784053174,874.1926579960672,53.324824377937965,58,18,ok
33.0,4,beans,B,2025,631.8988678932108,538.1532779518241,725.6444578345975,1639.372784053174,1007.4739161599632,61.454839677714524,54,20,ok
34.0,4,beans,A,2020,695.6480124251204,554.100822746417,837.1952021038239,1528.1373165058644,832.489304080744,54.477388588628784,63,15,ok
34.0,4,beans,A,2021,463.84104623345996,374.1250258910471,553.5570665758728,1528.1373165058644,1064.2962702724044,69.64663834700093,57,19,ok
34.0,4,beans,A,2022,595.4296850193938,484.7435464099389,706.1158236288487,1528.1373165058644,932.7076314864706,61.03559028446062,40,15,ok
34.0,4,beans,A,2023,1098.029163536528,807.3905899729599,1388.667737100096,1528.1373165058644,430.1081529693365,28.145909946940684,47,16,ok
34.0,4,beans,A,2024,853.8626205470827,722.5914163025459,985.1338247916194,1528.1373165058644,674.2746959587818,44.12395984809354,87,21,ok
34.0,4,beans,A,2025,904.420727056187,822.5808745928206,986.2605795195535,1528.1373165058644,623.7165894496774,40.815480566617246,106,24,ok
34.0,4,beans,B,2020,737.6435581500936,558.5120570881895,916.7750592119976,1639.372784053174,901.7292259030804,55.00452579636288,18,7,suppressed
34.0,4,beans,B,2021,696.1438986508011,495.785889445276,896.5019078563263,1639.372784053174,943.2288854023728,57.53596098322068,18,7,suppressed
34.0,4,beans,B,2022,845.7501655290209,555.6959830605197,1135.8043479975222,1639.372784053174,793.622618524153,48.41013747721284,14,5,suppressed
34.0,4,beans,B,2023,908.9115840125236,509.5899020729092,1308.233265952138,1639.372784053174,730.4612000406504,44.557357981426485,25,9,suppressed
34.0,4,beans,B,2024,848.2581043928305,799.8424215244798,896.6737872611812,1639.372784053174,791.1146796603434,48.25715586813617,22,9,suppressed
34.0,4,beans,B,2025,1012.147716281873,734.743488741093,1289.5519438226531,1639.372784053174,627.2250677713009,38.2600634750416,33,10,ok
