district_code,crop,season,year,lead_months,model,predicted_yield_kg_ha,ci_low,ci_high,actual_yield_kg_ha,is_backtest,reliability
23.0,maize,A,2021,3,baseline_district_mean,1481.8913165947947,581.6937316053755,2382.088901584214,1363.9587481251908,True,ok
25.0,maize,A,2021,3,baseline_district_mean,1178.6285968902855,278.43101190086634,2078.8261818797046,657.412971055317,True,ok
31.0,maize,A,2021,3,baseline_district_mean,1318.7162406619314,418.5186556725122,2218.9138256513506,1017.6312136155285,True,ok
32.0,maize,A,2021,3,baseline_district_mean,929.5740580333988,29.376473043979672,1829.771643022818,1014.8755969947318,True,ok
33.0,maize,A,2021,3,baseline_district_mean,1609.1242248183196,708.9266398289004,2509.3218098077386,1741.7826407274624,True,ok
33.0,maize,B,2021,3,baseline_district_mean,1258.5080824070621,358.310497417643,2158.705667396481,1728.660179854952,True,ok
34.0,maize,B,2021,3,baseline_district_mean,1029.258050701183,129.06046571176387,1929.4556356906023,900.0783251407416,True,ok
35.0,maize,A,2021,3,baseline_district_mean,467.5000177825797,-432.6975672068395,1367.6976027719988,646.9979911147182,True,use_with_caution
35.0,maize,B,2021,3,baseline_district_mean,822.7211024786792,-77.47648251073997,1722.9186874680984,344.028435260622,True,ok
41.0,maize,A,2021,3,baseline_district_mean,1041.7852555926684,141.5876706032492,1941.9828405820876,1337.5284768771414,True,ok
42.0,maize,A,2021,3,baseline_district_mean,1521.6246109533583,621.4270259639392,2421.8221959427774,1636.9973790200759,True,ok
43.0,maize,A,2021,3,baseline_district_mean,1907.8403663625852,1007.642781373166,2808.0379513520043,1650.271215782895,True,ok
44.0,maize,A,2021,3,baseline_district_mean,1590.30111634056,690.1035313511408,2490.498701329979,1387.240259319168,True,ok
45.0,maize,A,2021,3,baseline_district_mean,1362.9407515840383,462.7431665946191,2263.1383365734573,1024.1200403532655,True,use_with_caution
51.0,maize,A,2021,3,baseline_district_mean,1568.753867199145,668.5562822097257,2468.951452188564,1587.4512606691612,True,ok
52.0,maize,A,2021,3,baseline_district_mean,2699.09743408364,1798.8998490942208,3599.2950190730594,1874.1628679883943,True,ok
52.0,maize,B,2021,3,baseline_district_mean,1305.8468211058566,405.64923611643746,2206.044406095276,1480.086769756284,True,ok
53.0,maize,A,2021,3,baseline_district_mean,2170.8414387013327,1270.6438537119134,3071.039023690752,1815.339082386949,True,ok
54.0,maize,A,2021,3,baseline_district_mean,2153.966328278368,1253.7687432889488,3054.1639132677874,1553.203837412062,True,ok
55.0,maize,A,2021,3,baseline_district_mean,1733.482890681381,833.2853056919618,2633.6804756708,1545.2852864751865,True,ok
56.0,maize,A,2021,3,baseline_district_mean,1902.1456521243997,1001.9480671349805,2802.3432371138188,2072.6591597641554,True,ok
57.0,maize,A,2021,3,baseline_district_mean,686.548660110883,-213.64892487853615,1586.746245100302,1120.9180948630958,True,ok
31.0,maize,A,2022,3,baseline_district_mean,1209.2210151393388,309.0234301499196,2109.418600128758,1565.107341228493,True,ok
32.0,maize,A,2022,3,baseline_district_mean,938.5502792299346,38.35269424051546,1838.7478642193537,969.9944910120529,True,ok
35.0,maize,B,2022,3,baseline_district_mean,662.8160861509596,-237.3814988384596,1563.0136711403788,823.7434842437808,True,ok
42.0,maize,A,2022,3,baseline_district_mean,1509.9656670443521,609.768082054933,2410.163252033771,1706.9510424741118,True,ok
43.0,maize,A,2022,3,baseline_district_mean,1799.9589993823636,899.7614143929444,2700.1565843717826,2297.5594176642253,True,ok
44.0,maize,A,2022,3,baseline_district_mean,1584.8911116224972,684.693526633078,2485.0886966119165,1419.7002876275444,True,ok
45.0,maize,A,2022,3,baseline_district_mean,1227.8031470816004,327.60556209218123,2128.0007320710197,1564.6704583630165,True,ok
52.0,maize,A,2022,3,baseline_district_mean,2634.8489998934087,1734.6514149039895,3535.046584882828,2259.6534731297825,True,ok
52.0,maize,B,2022,3,baseline_district_mean,1313.3027850427577,413.10520005333854,2213.5003700321768,1442.806950071779,True,ok
53.0,maize,A,2022,3,baseline_district_mean,2183.118896287223,1282.9213112978036,3083.316481276642,1741.6743368716063,True,ok
55.0,maize,A,2022,3,baseline_district_mean,1798.768654056347,898.5710690669279,2698.966239045766,1153.570706225391,True,ok
56.0,maize,A,2022,3,baseline_district_mean,1901.7240653793008,1001.5264803898816,2801.92165036872,2075.1886802347467,True,ok
23.0,maize,A,2023,3,baseline_district_mean,1366.059999012969,465.86241402354983,2266.2575840023883,1595.6213832888425,True,use_with_caution
25.0,maize,A,2023,3,baseline_district_mean,1055.825858397628,155.62827340820888,1956.0234433870473,903.018448040632,True,ok
31.0,maize,A,2023,3,baseline_district_mean,1343.1362454708624,442.9386604814432,2243.3338304602817,895.5311895708741,True,ok
32.0,maize,A,2023,3,baseline_district_mean,967.5103869694879,67.31280198006868,1867.707971958907,825.1939523142868,True,ok
33.0,maize,A,2023,3,baseline_district_mean,1859.4610120672853,959.2634270778661,2759.6585970567044,990.772278980565,True,use_with_caution
34.0,maize,B,2023,3,baseline_district_mean,1009.7984159424004,109.60083095298125,1909.9960009318197,977.9168641758714,True,ok
37.0,maize,A,2023,3,baseline_district_mean,1400.3056217470894,500.1080367576702,2300.5032067365087,1710.3411049789695,True,use_with_caution
41.0,maize,A,2023,3,baseline_district_mean,1199.1298359550076,298.9322509655884,2099.3274209444266,865.4947357901235,True,use_with_caution
42.0,maize,A,2023,3,baseline_district_mean,1553.1855763113772,652.987991321958,2453.3831613007965,1447.6315868719628,True,ok
43.0,maize,A,2023,3,baseline_district_mean,1909.4232187096452,1009.225633720226,2809.6208036990643,1640.7741017005355,True,ok
44.0,maize,A,2023,3,baseline_district_mean,1601.0209541642441,700.823369174825,2501.218539153663,1322.9212323770632,True,ok
45.0,maize,A,2023,3,baseline_district_mean,1343.4446316558178,443.24704666639866,2243.642216645237,1102.1045200661476,True,ok
51.0,maize,A,2023,3,baseline_district_mean,1662.0459182659556,761.8483332765364,2562.243503255375,1214.2830564019182,True,ok
52.0,maize,A,2023,3,baseline_district_mean,2563.416040208714,1663.2184552192948,3463.6136251981334,2688.2512312379504,True,ok
52.0,maize,B,2023,3,baseline_district_mean,1469.3640436751652,569.1664586857461,2369.5616286645845,662.5006569097405,True,ok
53.0,maize,A,2023,3,baseline_district_mean,2117.283387802736,1217.0858028133166,3017.480972792155,2136.6873877785283,True,ok
53.0,maize,B,2023,3,baseline_district_mean,1532.9508840968756,632.7532991074564,2433.148469086295,1229.9105127360108,True,use_with_caution
55.0,maize,A,2023,3,baseline_district_mean,1717.1213073148394,816.9237223254203,2617.3188923042585,1643.4547866744358,True,ok
56.0,maize,A,2023,3,baseline_district_mean,2028.1093148343846,1127.9117298449655,2928.3068998238036,1316.8771835042448,True,ok
57.0,maize,A,2023,3,baseline_district_mean,1003.6131981819425,103.41561319252332,1903.8107831713617,486.78901872097686,True,use_with_caution
25.0,maize,A,2024,3,baseline_district_mean,780.2157095479745,-119.98187544144469,1680.4132945373935,1454.2387457399388,True,ok
31.0,maize,A,2024,3,baseline_district_mean,1125.9853388785118,225.78775388909264,2026.182923867931,1981.2857225326259,True,ok
33.0,maize,A,2024,3,baseline_district_mean,1648.298702376399,748.1011173869798,2548.4962873658183,1624.2592080532247,True,ok
34.0,maize,B,2024,3,baseline_district_mean,1002.5436168722099,102.34603188279073,1902.7412018616292,1006.9360604566338,True,ok
42.0,maize,A,2024,3,baseline_district_mean,1475.8572506503058,575.6596656608866,2376.054835639725,1911.6015408383917,True,ok
43.0,maize,A,2024,3,baseline_district_mean,1812.238793244034,912.0412082546148,2712.436378233453,2223.880654494203,True,ok
44.0,maize,A,2024,3,baseline_district_mean,1486.3908999822806,586.1933149928615,2386.5884849717,2010.701557468843,True,ok
45.0,maize,A,2024,3,baseline_district_mean,1172.7830692239177,272.5854842344985,2072.980654213337,1784.7507697937483,True,ok
51.0,maize,A,2024,3,baseline_district_mean,1650.4324860404092,750.2349010509901,2550.6300710298283,1260.7367853041037,True,ok
52.0,maize,A,2024,3,baseline_district_mean,2484.844254266123,1584.6466692767035,3385.041839255542,3159.6819468934987,True,ok
52.0,maize,B,2024,3,baseline_district_mean,1338.079395859538,437.8818108701188,2238.276980848957,1318.9238959878783,True,ok
53.0,maize,A,2024,3,baseline_district_mean,2052.025136121378,1151.827551131959,2952.2227211107975,2528.2368978666736,True,ok
53.0,maize,B,2024,3,baseline_district_mean,1333.232345616067,433.0347606266479,2233.4299306054863,1629.3475896976277,True,ok
54.0,maize,A,2024,3,baseline_district_mean,2078.7351344869858,1178.5375494975665,2978.932719476405,1703.666224994826,True,ok
55.0,maize,A,2024,3,baseline_district_mean,1554.9338840512755,654.7362990618564,2455.131469040695,2616.57932625582,True,ok
56.0,maize,A,2024,3,baseline_district_mean,1881.6319260481623,981.4343410587431,2781.8295110375816,2195.7415162215784,True,ok
