district_name,gaul_district_code,rainfall_mm,year,season
Bugesera,21974,595.947234413516,2024,A
Gatsibo,21978,581.8349021062013,2024,A
Kayonza,21984,558.4264510715137,2024,A
Kirehe,21986,594.1908743591,2024,A
Ngoma,21989,626.9276927116493,2024,A
Nyagatare,21992,584.2423322356699,2024,A
Rwamagana,22003,577.8480342683125,2024,A
Gasabo,21977,626.0066601563938,2024,A
Kicukiro,21985,609.5715062785404,2024,A
Nyarugenge,21996,623.1692146680423,2024,A
Burera,21975,830.6073297779998,2024,A
Gakenke,21976,801.9312160956761,2024,A
Gicumbi,21979,677.7939274298576,2024,A
Musanze,21988,966.5881672750166,2024,A
Rulindo,22000,701.6615606588985,2024,A
Gisagara,21980,847.2330039018204,2024,A
Huye,21981,818.4792675765675,2024,A
Kamonyi,21982,633.8952133997984,2024,A
Muhanga,21987,761.2411579072681,2024,A
Nyamagabe,21993,902.7220471235495,2024,A
Nyanza,21995,738.3404342330483,2024,A
Nyaruguru,21997,946.673705629811,2024,A
Ruhango,21999,674.3129983213441,2024,A
Karongi,21983,785.9110666283539,2024,A
Ngororero,21990,834.5251762442317,2024,A
Nyabihu,21991,927.0518605524629,2024,A
Nyamasheke,21994,915.2854344886389,2024,A
Rubavu,21998,788.5022240638589,2024,A
Rusizi,22001,936.3488931569017,2024,A
Rutsiro,22002,766.6414915852309,2024,A
Bugesera,21974,319.16390864160866,2024,B
Gatsibo,21978,313.5021860535644,2024,B
Kayonza,21984,309.4871359163815,2024,B
Kirehe,21986,359.4511728242454,2024,B
Ngoma,21989,337.7595379353982,2024,B
Nyagatare,21992,283.2188191258933,2024,B
Rwamagana,22003,330.6457508115505,2024,B
Gasabo,21977,337.6885478277423,2024,B
Kicukiro,21985,322.0844357239712,2024,B
Nyarugenge,21996,345.0368881323094,2024,B
Burera,21975,367.4091268532682,2024,B
Gakenke,21976,405.273813534059,2024,B
Gicumbi,21979,359.871208889967,2024,B
Musanze,21988,449.06679162095475,2024,B
Rulindo,22000,388.62649393964205,2024,B
Gisagara,21980,435.07836081801497,2024,B
Huye,21981,459.39876779706856,2024,B
Kamonyi,21982,348.6898535958774,2024,B
Muhanga,21987,385.7114545390479,2024,B
Nyamagabe,21993,473.56154952170766,2024,B
Nyanza,21995,395.47920750225893,2024,B
Nyaruguru,21997,521.9913940783168,2024,B
Ruhango,21999,369.3027203544698,2024,B
Karongi,21983,374.67733303878623,2024,B
Ngororero,21990,417.98813842761587,2024,B
Nyabihu,21991,445.7368825974588,2024,B
Nyamasheke,21994,422.8440522801508,2024,B
Rubavu,21998,372.69175511923953,2024,B
Rusizi,22001,443.40186915791713,2024,B
Rutsiro,22002,380.1228317508466,2024,B
Bugesera,21974,597.5890869013525,2025,A
Gatsibo,21978,610.686844287516,2025,A
Kayonza,21984,604.362623554142,2025,A
Kirehe,21986,611.6598633078618,2025,A
Ngoma,21989,617.3039799937671,2025,A
Nyagatare,21992,564.977808061464,2025,A
Rwamagana,22003,575.0912305992199,2025,A
Gasabo,21977,597.7306908466036,2025,A
Kicukiro,21985,577.5370342441673,2025,A
Nyarugenge,21996,603.0991792150535,2025,A
Burera,21975,739.8954395900107,2025,A
Gakenke,21976,704.5352824548982,2025,A
Gicumbi,21979,645.474441708168,2025,A
Musanze,21988,822.4834253859837,2025,A
Rulindo,22000,665.4257800278282,2025,A
Gisagara,21980,755.1468425790647,2025,A
Huye,21981,736.5764982934921,2025,A
Kamonyi,21982,605.5709765949603,2025,A
Muhanga,21987,689.8693522331752,2025,A
Nyamagabe,21993,871.7242793988902,2025,A
Nyanza,21995,685.396009246091,2025,A
Nyaruguru,21997,917.6078170161205,2025,A
Ruhango,21999,647.2337066972217,2025,A
Karongi,21983,728.2793125840777,2025,A
Ngororero,21990,721.0123561669549,2025,A
Nyabihu,21991,781.9111457094367,2025,A
Nyamasheke,21994,895.0918016009979,2025,A
Rubavu,21998,707.6423314978445,2025,A
Rusizi,22001,969.2548303247553,2025,A
Rutsiro,22002,700.3075178006733,2025,A
Bugesera,21974,394.1877059195355,2025,B
Gatsibo,21978,432.09485091858573,2025,B
Kayonza,21984,441.6227781271658,2025,B
Kirehe,21986,417.59907260837224,2025,B
Ngoma,21989,450.8747066391077,2025,B
Nyagatare,21992,361.4633826880514,2025,B
Rwamagana,22003,464.42099605871516,2025,B
Gasabo,21977,449.3051815263293,2025,B
Kicukiro,21985,433.8402342201058,2025,B
Nyarugenge,21996,435.3910860825655,2025,B
Burera,21975,489.46801106187354,2025,B
Gakenke,21976,528.759644517276,2025,B
Gicumbi,21979,468.68886608555044,2025,B
Musanze,21988,612.9363559641636,2025,B
Rulindo,22000,493.4145813337586,2025,B
Gisagara,21980,482.6762191813425,2025,B
Huye,21981,485.83272938406657,2025,B
Kamonyi,21982,429.51454089954143,2025,B
Muhanga,21987,483.31021320300283,2025,B
Nyamagabe,21993,523.4432554487282,2025,B
Nyanza,21995,455.3377405009605,2025,B
Nyaruguru,21997,530.9955866137999,2025,B
Ruhango,21999,438.1638961872492,2025,B
Karongi,21983,445.1602370711746,2025,B
Ngororero,21990,538.2214087628703,2025,B
Nyabihu,21991,617.2594921463899,2025,B
Nyamasheke,21994,496.90161706940995,2025,B
Rubavu,21998,505.15764800884875,2025,B
Rusizi,22001,503.0997023661368,2025,B
Rutsiro,22002,469.7431515202306,2025,B
