nisr_district_code,district_name,ndvi_mean,ndvi_peak,rainfall_mm,year,season,lead_months
13,Kicukiro,0.4887615188693687,0.6300176290179018,364.16190162608206,2020,B,4
11,Nyarugenge,0.5060954101128843,0.6635375759192159,361.7934128368237,2020,B,4
44,Burera,0.5485189467689938,0.7402116430278043,438.9341911506239,2020,B,4
42,Gakenke,0.5727841545826357,0.7811081432858882,430.9947374081606,2020,B,4
45,Gicumbi,0.6141097392337895,0.7983326699850729,413.7674492746676,2020,B,4
43,Musanze,0.547752019494456,0.7741744324582885,538.7625137795924,2020,B,4
41,Rulindo,0.5848829083662566,0.7745131635502605,411.1380978915074,2020,B,4
22,Gisagara,0.603949763496354,0.7557938193261196,470.4419168087594,2020,B,4
24,Huye,0.5869309547631113,0.7558207373846688,479.7292076874304,2020,B,4
28,Kamonyi,0.5438263504710215,0.7150559783380311,366.334358458864,2020,B,4
27,Muhanga,0.5194669227369934,0.7427849998307129,421.8049340507054,2020,B,4
25,Nyamagabe,0.5870200562347198,0.7939963365522397,539.6486741892624,2020,B,4
21,Nyanza,0.5837495352657939,0.7477785827652046,430.215058606886,2020,B,4
23,Nyaruguru,0.6030520530826381,0.806371120106988,578.976143760044,2020,B,4
26,Ruhango,0.5368302150348632,0.7182070549961149,414.30662246134,2020,B,4
31,Karongi,0.6374054498029407,0.7946868530471702,467.2408218347727,2020,B,4
35,Ngororero,0.529854155569988,0.7694385850191825,483.2770551145424,2020,B,4
34,Nyabihu,0.5405769163561825,0.7917068018842746,526.903174266851,2020,B,4
37,Nyamasheke,0.655810407388306,0.83216286590699,538.931265059515,2020,B,4
33,Rubavu,0.5898340022602641,0.7993638617065373,460.6107887551507,2020,B,4
36,Rusizi,0.667915255462609,0.8500172512760978,550.5154048019147,2020,B,4
32,Rutsiro,0.639133557044611,0.8199668810734958,474.8042113317356,2020,B,4
57,Bugesera,0.5799324650416404,0.6882774537558001,232.7910058548868,2021,B,2
53,Gatsibo,0.6115865746173452,0.7239926571328918,258.435764325607,2021,B,2
54,Kayonza,0.5703358958114463,0.6768354611277921,249.47394253930972,2021,B,2
55,Kirehe,0.6063683955171796,0.7201421678994455,277.35561168611696,2021,B,2
56,Ngoma,0.6054155315495909,0.7095040685799554,274.167045565032,2021,B,2
52,Nyagatare,0.6178431794995488,0.7383096777158528,230.84052826082277,2021,B,2
51,Rwamagana,0.6056894366446142,0.7150580463119285,253.4647745762637,2021,B,2
12,Gasabo,0.5625842749743403,0.6651842961365153,263.00295857141714,2021,B,2
13,Kicukiro,0.5083819601091386,0.6087940327122573,248.65543797620847,2021,B,2
11,Nyarugenge,0.5495719005095014,0.6553798557948753,249.52601963613063,2021,B,2
44,Burera,0.4675902456982685,0.6430548289459542,260.7097598519257,2021,B,2
42,Gakenke,0.541064779411562,0.708977873037665,264.05913080458697,2021,B,2
45,Gicumbi,0.5718148173284857,0.7144076155957303,281.2324975809064,2021,B,2
43,Musanze,0.4404349665201796,0.6306058946400277,272.74105944413526,2021,B,2
41,Rulindo,0.5868060908390935,0.7159441070945998,285.72384397460684,2021,B,2
22,Gisagara,0.6118260663261081,0.7154027225575522,292.5745441816412,2021,B,2
24,Huye,0.5516020403505497,0.6903214802778354,286.70521521706894,2021,B,2
28,Kamonyi,0.5811167730250603,0.6901224030991989,236.75754767575543,2021,B,2
27,Muhanga,0.5360093703044646,0.6904609421732003,249.6493954844049,2021,B,2
25,Nyamagabe,0.5413908243906476,0.7300847769843442,278.79758455904744,2021,B,2
21,Nyanza,0.590715531297608,0.7132022284532541,255.10222482783948,2021,B,2
23,Nyaruguru,0.551558267295417,0.7564419760382528,299.1849124996696,2021,B,2
26,Ruhango,0.558857094626662,0.6830079211691488,241.7989922298644,2021,B,2
31,Karongi,0.6326598849806879,0.7410209072129877,238.0376634399856,2021,B,2
35,Ngororero,0.5453816310082558,0.7051510935817736,239.6114827215864,2021,B,2
34,Nyabihu,0.5065519167695144,0.7162330675997662,251.0161809150302,2021,B,2
37,Nyamasheke,0.6114379327782239,0.7799942156224443,285.543729516558,2021,B,2
33,Rubavu,0.5370798728038281,0.7250223848618833,220.95013966991317,2021,B,2
