nisr_district_code,district_name,ndvi_mean,year,season
24,Huye,0.5968741992041058,2025,A
28,Kamonyi,0.5527449260006814,2025,A
27,Muhanga,0.6017956561822321,2025,A
25,Nyamagabe,0.6063479554885076,2025,A
21,Nyanza,0.5686822090483289,2025,A
23,Nyaruguru,0.6269160634016905,2025,A
26,Ruhango,0.5533222606958524,2025,A
31,Karongi,0.6113592748899981,2025,A
35,Ngororero,0.6018666941388378,2025,A
34,Nyabihu,0.6207904895742481,2025,A
37,Nyamasheke,0.6369937533253445,2025,A
33,Rubavu,0.5877825714478428,2025,A
36,Rusizi,0.6549710800136822,2025,A
32,Rutsiro,0.6064331375659189,2025,A
57,Bugesera,0.5683249971115452,2025,B
53,Gatsibo,0.6321175589607191,2025,B
54,Kayonza,0.5787695619192437,2025,B
55,Kirehe,0.6303540393177293,2025,B
56,Ngoma,0.6236424666428402,2025,B
52,Nyagatare,0.629100079018727,2025,B
51,Rwamagana,0.6450277692909496,2025,B
12,Gasabo,0.5867964013811571,2025,B
13,Kicukiro,0.5262317928272325,2025,B
11,Nyarugenge,0.5670226489414534,2025,B
44,Burera,0.5652450808104301,2025,B
42,Gakenke,0.6427737678507969,2025,B
45,Gicumbi,0.6320499274646065,2025,B
43,Musanze,0.5520962134091465,2025,B
41,Rulindo,0.6155708929498297,2025,B
22,Gisagara,0.6535979662459604,2025,B
24,Huye,0.6214160754491689,2025,B
28,Kamonyi,0.5968508359670159,2025,B
27,Muhanga,0.5956631142334228,2025,B
25,Nyamagabe,0.5833221087534202,2025,B
21,Nyanza,0.6227142194696205,2025,B
23,Nyaruguru,0.5955370241088978,2025,B
26,Ruhango,0.5904481686456338,2025,B
31,Karongi,0.633885165739622,2025,B
35,Ngororero,0.5776755169320568,2025,B
34,Nyabihu,0.5839794882379676,2025,B
37,Nyamasheke,0.682758777345598,2025,B
33,Rubavu,0.6562823084382383,2025,B
36,Rusizi,0.7077284837116533,2025,B
32,Rutsiro,0.6156177954504988,2025,B
